general_name,count_products,ingred_FPro,ingred_normalization_term
salt,11456,0.77695036,2132.508503
water,9314,0.769330303,4581.462401
natural flavor,7449,0.793640937,881.2503789
sugar,7444,0.874279926,2543.770392
sea salt,5599,0.750169308,991.2303372
milk,4773,0.72100992,2010.188393
wheat flour,4650,0.899063839,2603.341085
citric acid,4004,0.770084932,507.7808559
soy lecithin,3626,0.870102422,374.1131614
folic acid,3524,0.881759417,421.9648042
niacin,3511,0.883074475,834.4088925
cane sugar,3504,0.83363591,1121.758263
riboflavin,3503,0.886734668,474.2019423
spice,3396,0.777596696,375.1502137
thiamin mononitrate,3360,0.884257568,544.6312127
canola oil,3278,0.850028715,794.1083958
corn starch,3238,0.843185042,516.0708883
enzyme,3087,0.732896588,429.2807755
garlic,3063,0.750221297,415.056895
baking soda,3041,0.902117042,306.5442482
iron,2864,0.906200347,573.5951226
soybean oil,2656,0.862063284,561.103402
onion,2581,0.750811402,493.334631
sunflower oil,2552,0.831892766,632.6413656
yeast,2333,0.881615044,342.5201543
palm oil,2296,0.887609076,505.2430294
dextrose,2215,0.862769538,322.1077407
cocoa butter,2124,0.817565148,435.2262392
cream,2088,0.798588965,671.5856211
xanthan gum,2050,0.818111924,177.7477128
vinegar,2029,0.781322871,388.0425158
flour,1893,0.926217582,1270.30784
garlic powder,1760,0.781298754,170.2298682
artificial flavor,1715,0.889958747,166.4795632
whey,1678,0.861460631,276.4980334
maltodextrin,1662,0.828198186,264.4305366
cheese culture,1635,0.690298314,341.4595548
guar gum,1609,0.800765947,158.60194
onion powder,1581,0.802276569,165.9382564
corn syrup,1570,0.904899073,474.2124798
chocolate,1564,0.823973313,399.2063704
vegetable oil,1547,0.865772481,499.4750378
egg,1511,0.714772148,372.8053221
monoglyceride,1459,0.892884284,140.6910917
monocalcium phosphate,1457,0.876384992,135.3245124
yeast extract,1444,0.812506055,147.0877482
ascorbic acid,1433,0.793382533,173.0018363
wheat gluten,1261,0.865907621,222.5442892
cocoa,1260,0.814744955,237.357874
skim milk,1245,0.791579528,390.9981561
almond,1211,0.633578864,565.8258533
honey,1205,0.810427837,241.5057025
butter,1181,0.839637156,241.5124707
barley flour,1168,0.905437711,298.0462607
lactic acid,1146,0.801638586,110.2399252
soybean,1144,0.776633582,197.9323005
black pepper,1126,0.723218231,122.0955454
rice flour,1115,0.845267916,273.1749519
diglyceride,1105,0.882264021,105.7016396
vanilla extract,1098,0.805064059,129.3253978
locust bean gum,1073,0.785620358,112.4092085
leavening,1051,0.913168799,130.6169754
tomato,1039,0.721320149,474.424078
carrot,1032,0.650462486,271.2887326
sunflower lecithin,1028,0.7605317,119.6628077
potato starch,1015,0.822452835,223.3770338
