,Food code,Main food description,version SR,year FNDDS,novaclass,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin C,Cholesterol,"Fatty acids, total saturated",Total Vitamin A
0,1042,"Cheese, pasteurized process, American, fortified with vitamin D",24,,4,2.897568025,3.459151775,1.30833282,0.815364813,-20,0.044016885,-7.369790739,0.51342225,-20,-2.302585093,2.893533421,-8.037858235
1,1043,"Cheese, pasteurized process, pimento",25,,4,3.096934154,3.440418095,0.548121409,-0.478035801,-2.302585093,-0.487760351,-7.775255847,0.356274864,-6.074846156,-2.364460497,2.978738697,-7.841700946
2,1044,"Cheese, pasteurized process, swiss",28,,4,3.208017082,3.219275745,0.741937345,0.207014169,-20,-0.258770729,-7.402051601,0.31481074,-20,-2.465104022,2.775397275,-8.274247013
3,1046,"Cheese food, pasteurized process, American, vitamin D fortified",28,,4,2.824943953,3.24376354,2.14710019,1.720979287,-20,-0.382725621,-8.254828927,0.249980205,-20,-2.3227878,2.711842999,-8.250990151
4,1048,"Cheese spread, pasteurized process, American",28,,4,2.797890905,3.055415276,2.16676537,1.990610328,-20,-0.576253429,-8.016417904,0.485507816,-20,-2.900422094,2.589792053,-8.408338787
5,1052,"Cream, fluid, light whipping",25,,4,0.774727168,3.431079756,1.085189268,-2.207274913,-20,-2.673648774,-10.41431318,-3.381394754,-7.418580903,-2.198225078,2.962020359,-8.004369565
6,1053,"Cream, fluid, heavy whipping",27,,4,0.717839793,3.610917913,1.026041596,1.026041596,-20,-2.733368009,-10.41431318,-3.270169119,-7.418580903,-1.987774353,3.136884553,-7.647994067
7,1054,"Cream, whipped, cream topping, pressurized",28,,4,1.16315081,3.100992784,2.524928324,2.079441542,-20,-2.292634762,-9.903487553,-4.828313737,-20,-2.577021939,2.62691245,-8.39056054
8,1057,Eggnog,21,,4,1.337629189,2.012232792,2.605648267,2.129421474,-20,-2.040220829,-8.517193191,-2.918771232,-6.502290171,-2.830217835,1.491329824,-9.864266839
9,1058,"Sour dressing, non-butterfat, cultured, filled cream-type",28,,4,1.178654996,2.807593831,1.54329811,1.54329811,-20,-2.18036746,-10.41431318,-3.036554268,-7.013115795,-5.298317367,2.585656553,-12.71689827
10,1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",28,,4,0,2.299580584,2.431857429,2.431857429,-20,-4.710530702,-10.41431318,-2.70306266,-20,-20,0.661140384,-11.61828598
11,1069,"Cream substitute, powdered",27,,4,1.566530411,3.568969157,4.005148983,4.005148983,-20,-3.816712826,-6.767993337,-2.095570924,-20,-20,3.482009024,-10.81977828
12,1071,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",28,,4,1.283707772,2.543175558,2.840831312,2.840831312,-20,-2.407945609,-10.1266311,-2.718100537,-7.264430223,-4.605170186,2.368747295,-10.15194891
13,1072,"Dessert topping, pressurized",28,,4,-0.020202707,3.104586678,2.77695418,2.77695418,-20,-5.298317367,-10.81977828,-2.780620894,-20,-20,2.939796641,-9.965362956
14,1073,"Dessert topping, semi solid, frozen",28,,4,0.223143551,3.231199575,3.137665769,3.137665769,-20,-5.11599581,-9.028018815,-3.688879454,-20,-20,3.081129849,-9.361163262
15,1074,"Sour cream, imitation, cultured",28,,4,0.875468737,2.971439581,1.891604804,1.891604804,-20,-5.80914299,-7.849363819,-2.282782466,-20,-20,2.878692711,-20
